scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.4831,2026-08-02
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3248.4081,2026-08-02
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1837.0723,2026-08-02
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1559.5087,2026-08-02
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.8541,2026-08-02
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1418.3692,2026-08-02
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1394.2936,2026-08-02
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1175.083,2026-08-02
154413,INF2KCX01087,,Choice Overnight Fund - Growth Option - Direct Plan,100.4221,2026-08-02
