scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.8709,2026-04-19
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3320.4065,2026-04-19
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3189.7478,2026-04-19
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3192.5194,2026-04-19
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1804.2186,2026-04-19
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1531.822,2026-04-19
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.6002,2026-04-19
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1482.9728,2026-04-19
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1418.413,2026-04-19
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1393.951,2026-04-19
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1397.8347,2026-04-19
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1371.5035,2026-04-19
150562,INF680P01323,,Shriram Overnight Fund -  Direct Growth,12.4705,2026-04-19
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1158.2244,2026-04-19
153035,INF680P01430,,Shriram Liquid Fund - Direct Plan Growth Option,1093.9824,2026-04-19
