scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.9367,2026-05-03
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3326.2457,2026-05-03
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3350.722,2026-05-03
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4169.9779,2026-05-03
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6792.8952,2026-05-03
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2930.246,2026-05-03
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5448.8411,2026-05-03
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4010.9693,2026-05-03
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3968.7662,2026-05-03
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2689.5996,2026-05-03
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-05-03
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.6237,2026-05-03
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.605,2026-05-03
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1034.7767,2026-05-03
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.0085,2026-05-03
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2676.5883,2026-05-03
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3195.3588,2026-05-03
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3198.2541,2026-05-03
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,448.295,2026-05-03
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-05-03
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5605.3727,2026-05-03
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4337.0917,2026-05-03
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4399.3602,2026-05-03
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4380.0424,2026-05-03
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2764.3824,2026-05-03
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,410.563,2026-05-03
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5037.5699,2026-05-03
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4549.2652,2026-05-03
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3086.8753,2026-05-03
