scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3224.3127,2026-06-21
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3355.4313,2026-06-21
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1823.4753,2026-06-21
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.7499,2026-06-21
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.2285,2026-06-21
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2700.8583,2026-06-21
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1385.9335,2026-06-21
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1406.1981,2026-06-21
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1168.2321,2026-06-21
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1410.0222,2026-06-21
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option,1434.1315,2026-06-21
