scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
150505,INF760K01KC4,,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.9269,2026-08-17
120256,INF109K010A6,,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,36.5559,2026-08-17
148419,INF769K01FY9,,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,14.0515,2026-08-17
119625,INF903J01PA5,,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,46.5079,2026-08-17
126685,INF760K01HB2,,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,24.7023,2026-08-17
120692,INF109K016B1,,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,33.6149,2026-08-17
148755,INF769K01HD9,,Mirae Asset Corporate Bond Fund Direct Growth Plan,13.8615,2026-08-17
119621,INF903J01NR4,,Sundaram Corporate Bond Fund Direct Plan - Growth,44.1669,2026-08-17
133868,INF761K01DG8,,BANK OF INDIA Credit Risk  Fund - Direct Plan,14.8203,2026-08-17
120711,INF109K01V00,,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,38.663,2026-08-17
122715,INF579M01266,,360 ONE Dynamic Bond Fund Direct Plan Growth,25.7072,2026-08-17
118284,INF760K01EC7,,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,33.3868,2026-08-17
120603,INF109K016E5,,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,42.8322,2026-08-17
120435,INF192K01DD3,,JM Dynamic Bond Fund - (Direct) - Growth Option,46.5791,2026-08-17
144403,INF174V01580,,Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth,16.4945,2026-08-17
140769,INF769K01DR8,,Mirae Asset Dynamic Bond Fund -Direct Plan -Growth,18.912,2026-08-17
134494,INF082J01176,,Quantum Dynamic Term Fund - Direct Plan Growth Option,22.8942,2026-08-17
120425,INF109K01P57,,ICICI Prudential Floating Interest Fund - Direct Plan - Growth,501.5795,2026-08-17
