scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.5743,2026-08-16
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3389.0347,2026-08-16
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3414.7113,2026-08-16
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4252.1763,2026-08-16
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6924.2622,2026-08-16
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2985.1252,2026-08-16
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5552.6594,2026-08-16
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4070.2036,2026-08-16
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,4045.2633,2026-08-16
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2741.3569,2026-08-16
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-08-16
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.8083,2026-08-16
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.7914,2026-08-16
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1031.7906,2026-08-16
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.514,2026-08-16
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2727.7482,2026-08-16
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3256.8441,2026-08-16
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3258.81,2026-08-16
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,456.9811,2026-08-16
