scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,365.3027,2026-06-20
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1823.1664,2026-06-20
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2105.3798,2026-06-20
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3618.8529,2026-06-20
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1547.8073,2026-06-20
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1409.8248,2026-06-20
147570,INF754K01JV9,,Edelweiss Overnight Fund - Direct Plan - Growth,1409.0366,2026-06-20
147606,INF663L01T01,,PGIM India Overnight Fund - Direct Plan - Growth Option,1404.1352,2026-06-20
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1239.3472,2026-06-20
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1212.5598,2026-06-20
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1354.7919,2026-06-20
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1282.9832,2026-06-20
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1287.853,2026-06-20
