scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
120438,INF846K01CR6,,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2890.2625,2026-07-28
121279,INF194K015G8,,Bandhan Banking and PSU Fund - Direct Growth,27.0214,2026-07-28
150505,INF760K01KC4,,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.8875,2026-07-28
140286,INF843K01FC8,,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.937,2026-07-28
129008,INF090I01KR8,,Franklin India Banking & PSU Debt Fund - Direct - Growth,25.1282,2026-07-28
128629,INF179KA1IZ7,,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,25.471,2026-07-28
148534,INF00XX01861,,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,14.1666,2026-07-28
134547,INF204KA1U53,,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.8835,2026-07-28
134552,INF204KA1U61,,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.8829,2026-07-28
119625,INF903J01PA5,,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,46.3175,2026-07-28
126940,INF789F015Z6,,UTI Banking & PSU Fund - Direct Plan - Growth Option,23.8101,2026-07-28
141588,INF846K01ZM8,,Axis Corporate Bond Fund - Direct Plan Growth,19.3282,2026-07-28
135916,INF194KA1M23,,BANDHAN Corporate Bond Fund - Direct Growth,21.1383,2026-07-28
126685,INF760K01HB2,,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,24.607,2026-07-28
118569,INF090I01FW8,,Franklin India Corporate Debt Fund - Direct - GROWTH,115.5964,2026-07-28
118987,INF179K01XD8,,HDFC Corporate Bond Fund - Growth Option - Direct Plan,35.2667,2026-07-28
150996,INF917K01HN3,,HSBC Corporate Bond Fund - Direct Growth,82.8933,2026-07-28
118807,INF204K01D63,,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,47.9014,2026-07-28
118814,INF204K01C15,,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,67.0936,2026-07-28
138330,INF223J01OO2,,PGIM India Corporate Bond Fund - Direct Plan - Growth,51.0375,2026-07-28
119621,INF903J01NR4,,Sundaram Corporate Bond Fund Direct Plan - Growth,44.0075,2026-07-28
151320,INF0GCD01560,,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,1272.3708,2026-07-28
144339,INF789F1A538,,UTI Corporate Bond Fund - Direct Plan - Growth Option,17.8239,2026-07-28
130314,INF846K01PJ5,,Axis Credit Risk Fund - Direct Plan - Growth,26.2267,2026-07-28
140603,INF194KA1X61,,BANDHAN Credit Risk Fund-Direct Plan-Growth,18.9828,2026-07-28
133868,INF761K01DG8,,BANK OF INDIA Credit Risk  Fund - Direct Plan,14.7511,2026-07-28
128051,INF179KA1FZ3,,HDFC Credit Risk Debt Fund - Growth Option - Direct Plan,28.1185,2026-07-28
151045,INF917K01UH8,,HSBC Credit Risk Fund - Direct Growth,37.5083,2026-07-28
118780,INF204K01A74,,Nippon India Credit Risk Fund - Direct Plan - Growth Plan,42.0177,2026-07-28
120764,INF789F01YB6,,UTI Credit Risk Fund - Direct Plan - Growth Option,20.7295,2026-07-28
122715,INF579M01266,,360 ONE Dynamic Bond Fund Direct Plan Growth,25.5523,2026-07-28
120451,INF846K01DI3,,Axis Dynamic Bond Fund - Direct Plan - Growth Option,34.7339,2026-07-28
118416,INF194K01N63,,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,40.1276,2026-07-28
118284,INF760K01EC7,,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,33.2647,2026-07-28
145589,INF666M01EK5,,Groww Dynamic Term Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,1574.6051,2026-07-28
145596,,INF666M01EL3,Groww Dynamic Term Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1019.7281,2026-07-28
