scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.2693,2026-06-28
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6863.2873,2026-06-28
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.282,2026-06-28
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3228.2695,2026-06-28
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3230.3917,2026-06-28
120304,INF789F1AD46,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,459.6239,2026-06-28
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3119.0989,2026-06-28
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3732.9101,2026-06-28
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1825.6712,2026-06-28
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,146.5017,2026-06-28
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.7673,2026-06-28
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1500.2055,2026-06-28
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option,1443.6469,2026-06-28
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option,1455.5199,2026-06-28
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1432.5216,2026-06-28
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1411.3847,2026-06-28
147713,INF00XX01564,,ITI Overnight Fund - Direct Plan - Growth Option,1379.5746,2026-06-28
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1387.3319,2026-06-28
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1240.5287,2026-06-28
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1212.2065,2026-06-28
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1356.6282,2026-06-28
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1284.1543,2026-06-28
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1289.3107,2026-06-28
150369,INF0J8L01081,,NJ Overnight Fund - Direct Plan - Growth Option,1261.9093,2026-06-28
150631,INF0K1H01040,,Samco Overnight Fund - Direct Plan - Growth Option,1244.9267,2026-06-28
151833,INF0QA701011,,Bajaj Finserv Liquid Fund - Direct Plan - Growth,1223.4411,2026-06-28
151849,INF0QA701177,,Bajaj Finserv Overnight Fund - Direct Plan - Growth,1196.5936,2026-06-28
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1169.3745,2026-06-28
153438,INF0QA701AF0,,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan,1069.4502,2026-06-28
153570,INF1MIY01056,,Unifi Liquid Fund- Direct Growth,1063.5757,2026-06-28
154011,INF226401034,,Capitalmind Liquid Fund - Direct-Growth,1039.2708,2026-06-28
154051,INF2JJD01029,,Abakkus Liquid Fund - Direct Plan - Growth,103.1647,2026-06-28
