scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,4996.6525,2026-03-28
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1793.308,2026-03-28
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1522.0939,2026-03-28
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1395.4243,2026-03-28
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1393.6038,2026-03-28
150562,INF680P01323,,Shriram Overnight Fund -  Direct Growth,12.4309,2026-03-28
153035,INF680P01430,,Shriram Liquid Fund - Direct Plan Growth Option,1087.1561,2026-03-28
154011,INF226401034,,Capitalmind Liquid Fund - Direct-Growth,1020.944,2026-03-28
