scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.524,2026-08-08
120304,INF789F1AD46,,UTI Liquid Fund - Direct Plan - Growth Option,463.0268,2026-08-08
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3754.5417,2026-08-08
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1561.3879,2026-08-08
154413,INF2KCX01087,,Choice Overnight Fund - Growth Option - Direct Plan,100.5015,2026-08-08
