scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103490,INF082J01036,,Quantum Value Fund - Direct Plan Growth Option,116.21,2026-04-01
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.7306,2026-04-01
111549,INF082J01069,,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,116.07,2026-04-01
112039,INF082J01093,,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,76.882,2026-04-01
115132,INF082J01150,,Quantum Gold Savings Fund - Direct Plan Growth Option,57.188,2026-04-01
117608,INF082J01168,,Quantum Multi Asset Active FOF - Direct Plan Growth Option,35.7275,2026-04-01
118267,INF760K01FO9,,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,175.78,2026-04-01
118269,INF760K01FR2,,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,65.86,2026-04-01
118272,INF760K01EZ8,,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,385.29,2026-04-01
118273,INF760K01DU1,,CANARA ROBECO CONSUMER TRENDS FUND - DIRECT PLAN - GROWTH OPTION,109.59,2026-04-01
118275,INF760K01EF0,,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,347.08,2026-04-01
118278,INF760K01EI4,,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,258.94,2026-04-01
118285,INF760K01EL8,,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,180.97,2026-04-01
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3303.3511,2026-04-01
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3327.4278,2026-04-01
118419,INF194K01V89,,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,147.165,2026-04-01
118421,INF194K01W21,,Bandhan Focused Fund - Direct Plan - Growth,94.042,2026-04-01
118424,INF194K01W62,,BANDHAN Flexi Cap Fund-Direct Plan-Growth,208.565,2026-04-01
118469,INF194K01X46,,BANDHAN Infrastructure Fund-Direct Plan-Growth,50.473,2026-04-01
118473,INF194K01Y29,,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,162.248,2026-04-01
118474,INF194K01Y60,,BANDHAN Arbitrage Fund-Direct Plan- Growth,36.7678,2026-04-01
118477,INF194K01Z02,,BANDHAN Equity Savings Fund-Direct Plan-Growth,34.995,2026-04-01
118479,INF194K01Z44,,BANDHAN Large Cap Fund-Direct Plan-Growth,81.809,2026-04-01
118481,INF194K01Z85,,Bandhan Value Fund - Direct Plan - Growth,153.579,2026-04-01
118482,INF194K012A8,,BANDHAN Nifty 50 Index Fund-Direct Plan-Growth,50.4444,2026-04-01
118494,INF090I01GY2,,Templeton India Value Fund - Direct - Growth,738.3044,2026-04-01
118510,INF090I01IN1,,Franklin India Large & Mid Cap Fund - Direct - Growth,188.7293,2026-04-01
118525,INF090I01IQ4,,Franklin India Small Cap Fund - Direct - Growth,169.9108,2026-04-01
118531,INF090I01FN7,,Franklin India Large Cap Fund- Direct - Growth,1041.2325,2026-04-01
118533,INF090I01FH9,,Franklin India Mid Cap Fund - Direct - Growth,2754.4484,2026-04-01
118535,INF090I01FK3,,Franklin India Flexi Cap Fund - Direct - Growth,1645.0981,2026-04-01
118537,INF090I01FE6,,Franklin India Technology Fund - Direct - Growth,477.5454,2026-04-01
118539,INF090I01GC8,,Franklin India Opportunities Fund - Direct - Growth,253.886,2026-04-01
118540,INF090I01JS8,,Franklin India ELSS Tax Saver Fund - Direct - Growth,1472.8119,2026-04-01
118546,INF090I01FZ1,,Franklin India Aggressive Hybrid Fund - Direct - Growth,287.6026,2026-04-01
118548,INF090I01JZ3,,Franklin India Retirement Fund - Direct - Growth,231.6985,2026-04-01
118551,INF090I01JR0,,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,88.1189,2026-04-01
118557,INF090I01JF5,,Franklin Build India Fund - Direct - Growth,156.6265,2026-04-01
118559,INF090I01IZ5,,Franklin Asian Equity Fund - Direct - Growth,39.8741,2026-04-01
118564,INF090I01IW2,,Franklin India Focused Equity Fund - Direct - Growth,107.7936,2026-04-01
118574,INF090I01GF1,,Franklin India Conservative Hybrid Fund - Direct - GROWTH,98.4512,2026-04-01
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4141.8599,2026-04-01
118581,INF090I01GS4,,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,192.8095,2026-04-01
118585,INF204K01XZ7,,Nippon India Arbitrage Fund - Direct Plan Growth Plan - Growth Option,30.0665,2026-04-01
118588,INF204K01D22,,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option,631.4217,2026-04-01
118589,INF204K01XO1,,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Growth Option,631.4217,2026-04-01
