scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.9746,2026-05-10
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3330.0058,2026-05-10
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3354.545,2026-05-10
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4174.6113,2026-05-10
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6800.6423,2026-05-10
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2933.5474,2026-05-10
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5455.0202,2026-05-10
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4014.7736,2026-05-10
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3973.2645,2026-05-10
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2692.7065,2026-05-10
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-05-10
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.8,2026-05-10
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1003.7632,2026-05-10
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1030.4045,2026-05-10
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.0388,2026-05-10
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2679.6905,2026-05-10
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3198.9937,2026-05-10
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3201.8819,2026-05-10
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,448.8052,2026-05-10
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-05-10
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5611.6272,2026-05-10
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4341.9683,2026-05-10
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4403.5853,2026-05-10
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4385.0723,2026-05-10
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2767.5119,2026-05-10
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,411.0252,2026-05-10
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5043.247,2026-05-10
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4554.364,2026-05-10
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3090.4174,2026-05-10
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,75.7843,2026-05-10
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3707.2945,2026-05-10
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,44.5531,2026-05-10
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2128.1671,2026-05-10
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,362.4311,2026-05-10
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1809.4297,2026-05-10
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2089.0919,2026-05-10
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3590.8549,2026-05-10
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1536.1402,2026-05-10
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1464.77,2026-05-10
145536,INF109KC11G1,,ICICI Prudential Overnight Fund - Direct Plan - Growth,1459.4477,2026-05-10
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,145.4932,2026-05-10
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.6416,2026-05-10
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1487.1181,2026-05-10
146062,INF740KA1MC8,,DSP Overnight Fund - Direct Plan - Growth,1450.7396,2026-05-10
146140,,INF174KA1BE2,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,1003.6055,2026-05-10
146141,INF174KA1BF9,,Kotak Overnight Fund -Direct Plan-Growth Option,1445.0186,2026-05-10
146191,INF194KB1447,,BANDHAN Overnight Fund - Direct Plan - Growth,1444.4119,2026-05-10
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option,1433.6828,2026-05-10
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth,1438.3884,2026-05-10
146978,,INF277K019T3,TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1000.0,2026-05-10
146980,INF277K018T5,,Tata Overnight Fund-Direct Plan-Growth,1429.7145,2026-05-10
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option,1425.6503,2026-05-10
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option,1443.6659,2026-05-10
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1422.543,2026-05-10
147214,INF090I01SS9,,Franklin India Overnight Fund- Growth - Direct,1412.8489,2026-05-10
147287,INF336L01OF6,,HSBC Overnight Fund - Direct Growth,1417.3122,2026-05-10
147450,INF666M01GL8,,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,1395.2993,2026-05-10
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.1083,2026-05-10
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1217.0305,2026-05-10
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.1318,2026-05-10
147458,,INF666M01GM6,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.4542,2026-05-10
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1403.9066,2026-05-10
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1397.9674,2026-05-10
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1401.8509,2026-05-10
147570,INF754K01JV9,,Edelweiss Overnight Fund - Direct Plan - Growth,1400.9293,2026-05-10
