scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.4396,2026-07-26
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3376.4063,2026-07-26
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3402.0283,2026-07-26
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4235.88,2026-07-26
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6897.9771,2026-07-26
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2973.9017,2026-07-26
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5531.647,2026-07-26
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4058.3992,2026-07-26
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,4029.8178,2026-07-26
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2730.9441,2026-07-26
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-07-26
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.7943,2026-07-26
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1004.344,2026-07-26
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1033.3063,2026-07-26
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.4135,2026-07-26
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2717.5476,2026-07-26
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3244.5242,2026-07-26
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3246.6298,2026-07-26
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,455.2524,2026-07-26
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-07-26
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5691.8806,2026-07-26
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4403.9291,2026-07-26
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4451.4585,2026-07-26
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4447.0574,2026-07-26
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2806.9507,2026-07-26
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,416.8836,2026-07-26
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5114.6474,2026-07-26
120304,INF789F1AD46,,UTI Liquid Fund - Direct Plan - Growth Option,461.9263,2026-07-26
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3134.9769,2026-07-26
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,76.846,2026-07-26
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3866.4814,2026-07-26
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3747.7683,2026-07-26
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,45.1178,2026-07-26
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2156.0517,2026-07-26
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,367.654,2026-07-26
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1834.8424,2026-07-26
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2119.0255,2026-07-26
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3642.3094,2026-07-26
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1557.6608,2026-07-26
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1480.79,2026-07-26
