scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.8293,2026-04-12
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3315.8721,2026-04-12
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3340.2149,2026-04-12
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4156.9279,2026-04-12
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6771.6856,2026-04-12
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2921.2829,2026-04-12
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5432.4174,2026-04-12
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,3999.6667,2026-04-12
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3956.4222,2026-04-12
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2681.2804,2026-04-12
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-04-12
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1003.1957,2026-04-12
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.0769,2026-04-12
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1031.576,2026-04-12
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,29.923,2026-04-12
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2668.1091,2026-04-12
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3185.5122,2026-04-12
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3188.2442,2026-04-12
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,446.8892,2026-04-12
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-04-12
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5587.9732,2026-04-12
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4323.843,2026-04-12
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4386.8032,2026-04-12
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4366.7295,2026-04-12
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2756.0391,2026-04-12
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,409.2943,2026-04-12
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5021.9296,2026-04-12
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4535.1946,2026-04-12
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3077.148,2026-04-12
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,75.4675,2026-04-12
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3795.9375,2026-04-12
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3693.0843,2026-04-12
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,44.3782,2026-04-12
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2119.3807,2026-04-12
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,360.8854,2026-04-12
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1801.7988,2026-04-12
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2080.0603,2026-04-12
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3575.3294,2026-04-12
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1529.7137,2026-04-12
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1459.1809,2026-04-12
145536,INF109KC11G1,,ICICI Prudential Overnight Fund - Direct Plan - Growth,1453.8616,2026-04-12
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,144.9357,2026-04-12
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.5831,2026-04-12
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1480.9929,2026-04-12
146062,INF740KA1MC8,,DSP Overnight Fund - Direct Plan - Growth,1445.1991,2026-04-12
146140,,INF174KA1BE2,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,1003.6055,2026-04-12
146141,INF174KA1BF9,,Kotak Overnight Fund -Direct Plan-Growth Option,1439.4669,2026-04-12
146191,INF194KB1447,,BANDHAN Overnight Fund - Direct Plan - Growth,1438.8667,2026-04-12
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option,1428.1709,2026-04-12
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth,1432.8978,2026-04-12
146978,,INF277K019T3,TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1000.0008,2026-04-12
146980,INF277K018T5,,Tata Overnight Fund-Direct Plan-Growth,1424.2208,2026-04-12
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option,1420.1366,2026-04-12
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option,1437.7072,2026-04-12
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1417.0862,2026-04-12
147214,INF090I01SS9,,Franklin India Overnight Fund- Growth - Direct,1407.3447,2026-04-12
147287,INF336L01OF6,,HSBC Overnight Fund - Direct Growth,1411.8709,2026-04-12
147450,INF666M01GL8,,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,1390.0168,2026-04-12
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.1512,2026-04-12
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1215.0932,2026-04-12
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.6966,2026-04-12
147458,,INF666M01GM6,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.4369,2026-04-12
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1398.5311,2026-04-12
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1392.6612,2026-04-12
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1396.5479,2026-04-12
147570,INF754K01JV9,,Edelweiss Overnight Fund - Direct Plan - Growth,1395.5574,2026-04-12
147606,INF663L01T01,,PGIM India Overnight Fund - Direct Plan - Growth Option,1390.9959,2026-04-12
147713,INF00XX01564,,ITI Overnight Fund - Direct Plan - Growth Option,1365.4852,2026-04-12
147736,INF769K01FG6,,Mirae Asset Overnight Fund Direct Plan Growth,1383.6245,2026-04-12
147837,INF192K01MB8,,JM Overnight Fund - (Direct) - Growth,1367.4313,2026-04-12
147883,INF205KA1163,,Invesco India Overnight Fund - Direct Plan - Growth,1363.1242,2026-04-12
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1370.1871,2026-04-12
148413,,,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,41.4437,2026-04-12
148414,,,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,41.4437,2026-04-12
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1229.9108,2026-04-12
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1202.4515,2026-04-12
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1339.06,2026-04-12
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1272.6379,2026-04-12
149409,INF109KC17H6,,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Stable Scheme,1000.0,2026-04-12
149410,INF109KC15H0,,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Transitory Scheme,1282.7819,2026-04-12
149664,INF173K01GU0,,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option,2443.8697,2026-04-12
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1275.7492,2026-04-12
