scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3192.649,2026-04-26
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3195.4862,2026-04-26
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3323.4674,2026-04-26
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1805.9049,2026-04-26
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.6135,2026-04-26
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.9037,2026-04-26
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1274.7207,2026-04-26
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1342.0378,2026-04-26
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1201.1264,2026-04-26
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1231.6482,2026-04-26
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1484.2864,2026-04-26
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1372.8118,2026-04-26
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1419.7792,2026-04-26
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1395.2714,2026-04-26
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1159.3063,2026-04-26
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1399.1598,2026-04-26
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1278.1092,2026-04-26
