scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3252.8896,2026-08-09
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3254.8874,2026-08-09
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3385.0654,2026-08-09
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1839.6819,2026-08-09
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.8727,2026-08-09
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1511.602,2026-08-09
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1395.6409,2026-08-09
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1440.9987,2026-08-09
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1416.0997,2026-08-09
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1419.7279,2026-08-09
154413,INF2KCX01087,,Choice Overnight Fund - Growth Option - Direct Plan,100.5149,2026-08-09
150369,INF0J8L01081,,NJ Overnight Fund - Direct Plan - Growth Option,1269.4206,2026-08-09
