scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.3932,2026-07-18
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5107.9127,2026-07-18
120304,INF789F1AD46,,UTI Liquid Fund - Direct Plan - Growth Option,461.3192,2026-07-18
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3743.5341,2026-07-18
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1555.6308,2026-07-18
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1417.6783,2026-07-18
