scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.6864,2026-03-26
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3298.4129,2026-03-26
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3322.1672,2026-03-26
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4135.2525,2026-03-26
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6734.7614,2026-03-26
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2906.0739,2026-03-26
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5402.6878,2026-03-26
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,3989.3691,2026-03-26
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3935.1246,2026-03-26
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2667.2888,2026-03-26
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-03-26
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.2011,2026-03-26
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.9659,2026-03-26
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1032.886,2026-03-26
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,29.8086,2026-03-26
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2654.4309,2026-03-26
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3169.2778,2026-03-26
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3171.7171,2026-03-26
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,444.4488,2026-03-26
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-03-26
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5557.9635,2026-03-26
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4300.2866,2026-03-26
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4375.9976,2026-03-26
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4344.0846,2026-03-26
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2741.0639,2026-03-26
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,407.1719,2026-03-26
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,4994.4785,2026-03-26
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4510.3231,2026-03-26
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3060.4817,2026-03-26
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,75.0917,2026-03-26
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3775.6278,2026-03-26
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3683.619,2026-03-26
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,44.2113,2026-03-26
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2108.5786,2026-03-26
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,358.9294,2026-03-26
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1792.5664,2026-03-26
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2068.9205,2026-03-26
