scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.1818,2026-06-14
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3350.4808,2026-06-14
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3375.7198,2026-06-14
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4201.6806,2026-06-14
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6844.0732,2026-06-14
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2951.3346,2026-06-14
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5489.3444,2026-06-14
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4034.4578,2026-06-14
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3998.5107,2026-06-14
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2709.826,2026-06-14
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-06-14
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1003.0936,2026-06-14
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.5261,2026-06-14
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1032.0424,2026-06-14
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.2082,2026-06-14
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2696.6251,2026-06-14
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3219.1634,2026-06-14
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3221.6572,2026-06-14
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,451.6649,2026-06-14
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-06-14
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5647.3033,2026-06-14
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4369.5024,2026-06-14
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4425.2198,2026-06-14
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4412.7382,2026-06-14
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2785.0622,2026-06-14
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,413.6292,2026-06-14
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5074.4766,2026-06-14
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4583.488,2026-06-14
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3110.2858,2026-06-14
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,76.2565,2026-06-14
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3836.1435,2026-06-14
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3725.5181,2026-06-14
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,44.8081,2026-06-14
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2140.5449,2026-06-14
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,364.7742,2026-06-14
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1820.7218,2026-06-14
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2102.4471,2026-06-14
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3613.8121,2026-06-14
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1545.7469,2026-06-14
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1471.9885,2026-06-14
145536,INF109KC11G1,,ICICI Prudential Overnight Fund - Direct Plan - Growth,1466.6268,2026-06-14
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,146.2102,2026-06-14
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.7292,2026-06-14
