scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
151833,INF0QA701011,,Bajaj Finserv Liquid Fund - Direct Plan - Growth,1207.5994,2026-04-14
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3317.4008,2026-04-14
154011,INF226401034,,Capitalmind Liquid Fund - Direct-Growth,1026.4311,2026-04-14
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1802.619,2026-04-14
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.5886,2026-04-14
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.8429,2026-04-14
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1481.6859,2026-04-14
153438,INF0QA701AF0,,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan,1058.529,2026-04-14
151849,INF0QA701177,,Bajaj Finserv Overnight Fund - Direct Plan - Growth,1184.0434,2026-04-14
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1393.0352,2026-04-14
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option,1157.4658,2026-04-14
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1396.9138,2026-04-14
