scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.0599,2026-05-28
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3339.5319,2026-05-28
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3363.5766,2026-05-28
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4185.9897,2026-05-28
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6818.1894,2026-05-28
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth,2940.8728,2026-05-28
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan,5469.6355,2026-05-28
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan,4024.797,2026-05-28
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth,3983.5428,2026-05-28
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2700.4965,2026-05-28
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907,2026-05-28
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.285,2026-05-28
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.2657,2026-05-28
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1033.3855,2026-05-28
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,30.1114,2026-05-28
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2687.0084,2026-05-28
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3207.755,2026-05-28
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3210.3696,2026-05-28
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,449.9486,2026-05-28
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81,2026-05-28
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5626.5021,2026-05-28
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4353.9948,2026-05-28
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4414.6431,2026-05-28
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4397.044,2026-05-28
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2774.9479,2026-05-28
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth,412.1409,2026-05-28
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5056.4437,2026-05-28
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4566.8153,2026-05-28
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3098.8588,2026-05-28
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,75.9939,2026-05-28
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3822.4333,2026-05-28
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3716.6107,2026-05-28
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan,44.6434,2026-05-28
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2133.3634,2026-05-28
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,363.4284,2026-05-28
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1814.0505,2026-05-28
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2094.8335,2026-05-28
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3600.7248,2026-05-28
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1540.3481,2026-05-28
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1468.4495,2026-05-28
145536,INF109KC11G1,,ICICI Prudential Overnight Fund - Direct Plan - Growth,1463.1223,2026-05-28
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,145.8598,2026-05-28
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.6758,2026-05-28
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1490.6477,2026-05-28
146062,INF740KA1MC8,,DSP Overnight Fund - Direct Plan - Growth,1454.3972,2026-05-28
146140,,INF174KA1BE2,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,1003.6055,2026-05-28
146141,INF174KA1BF9,,Kotak Overnight Fund -Direct Plan-Growth Option,1448.6707,2026-05-28
146191,INF194KB1447,,BANDHAN Overnight Fund - Direct Plan - Growth,1448.0689,2026-05-28
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option,1437.3088,2026-05-28
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth,1442.001,2026-05-28
146978,,INF277K019T3,TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1000.0,2026-05-28
146980,INF277K018T5,,Tata Overnight Fund-Direct Plan-Growth,1433.3191,2026-05-28
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option,1429.3037,2026-05-28
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option,1447.7057,2026-05-28
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1426.212,2026-05-28
147214,INF090I01SS9,,Franklin India Overnight Fund- Growth - Direct,1416.4332,2026-05-28
147287,INF336L01OF6,,HSBC Overnight Fund - Direct Growth,1420.8776,2026-05-28
147450,INF666M01GL8,,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,1398.7601,2026-05-28
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.6306,2026-05-28
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1215.2591,2026-05-28
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1004.617,2026-05-28
